# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
BA;2922755;Nova Ibiá;;79,865;66,815;
BA;2922805;Nova Itarana;;72,819;64,421;
BA;2922854;Nova Redenção;;74,789;63;
BA;2922904;Nova Soure;;72,9;61,995;
BA;2923001;Nova Viçosa;;125,743;71,603;
BA;2923035;Novo Horizonte;;98,499;71,815;
BA;2923050;Novo Triunfo;;61,902;65,23;
BA;2923100;Olindina;;86,107;65,934;
BA;2923209;Oliveira dos Brejinhos;;68,118;72,814;
BA;2923308;Ouriçangas;;71,645;64,476;
BA;2923357;Ourolândia;;67,528;58,874;
BA;2923407;Palmas de Monte Alto;;106,669;62,069;
BA;2923506;Palmeiras;;113,07;76,684;
BA;2923605;Paramirim;;89,277;73,438;
BA;2923704;Paratinga;;49,114;69,427;
BA;2923803;Paripiranga;;93,942;62,795;
BA;2923902;Pau Brasil;;93,152;63,809;
BA;2924009;Paulo Afonso;;170,054;77,325;
BA;2924058;Pé de Serra;;67,583;71,146;
BA;2924108;Pedrão;;62,158;70,932;
BA;2924207;Pedro Alexandre;;52,054;51,285;
BA;2924306;Piatã;;73,375;71,228;
BA;2924405;Pilão Arcado;;46,381;59,462;
BA;2924504;Pindaí;;79,94;68,005;
BA;2924603;Pindobaçu;;78,294;68,42;
BA;2924652;Pintadas;;83,047;67,892;
BA;2924678;Piraí do Norte;;60,824;63,609;
BA;2924702;Piripá;;74,158;63,592;
BA;2924801;Piritiba;;89,443;71,458;
BA;2924900;Planaltino;;73,92;54,036;
BA;2925006;Planalto;;91,664;60,753;
BA;2925105;Poções;;104,152;65,284;
BA;2925204;Pojuca;;137,964;83,288;
BA;2925253;Ponto Novo;;59,793;65,653;
BA;2925303;Porto Seguro;;192,778;81,419;
BA;2925402;Potiraguá;;66,765;64,516;
BA;2925501;Prado;;155,926;71,594;
BA;2925600;Presidente Dutra;;91,399;77,93;
BA;2925709;Presidente Jânio Quadros;;69,049;55,9;
BA;2925758;Presidente Tancredo Neves;;82,292;61,01;
BA;2925808;Queimadas;;80,703;69,801;
BA;2925907;Quijingue;;55,085;55,453;
BA;2925931;Quixabeira;;67,266;65,551;
BA;2925956;Rafael Jambeiro;;57,683;60,743;
BA;2926004;Remanso;;96,923;66,843;
BA;2926103;Retirolândia;;104,813;71,849;
BA;2926202;Riachão das Neves;;56,579;61,177;
BA;2926301;Riachão do Jacuípe;;103,959;76,035;
BA;2926400;Riacho de Santana;;70,273;66,246;
BA;2926509;Ribeira do Amparo;;64,642;54,01;
BA;2926608;Ribeira do Pombal;;108,587;66,381;
BA;2926657;Ribeirão do Largo;;75,712;56,732;
BA;2926707;Rio de Contas;;97,78;73,455;
BA;2926806;Rio do Antônio;;69,569;64,781;
BA;2926905;Rio do Pires;;100,925;66,957;
BA;2927002;Rio Real;;96,183;68,688;
BA;2927101;Rodelas;;123,836;74,557;
BA;2927200;Ruy Barbosa;;85,884;70,297;
BA;2927309;Salinas da Margarida;;82,348;84,359;
BA;2927408;Salvador;;341,321;93,718;
BA;2927507;Santa Bárbara;;76,042;68,995;
BA;2927606;Santa Brígida;;52,114;51,106;
BA;2927705;Santa Cruz Cabrália;;164,494;75,918;
BA;2927804;Santa Cruz da Vitória;;80,205;63,968;
BA;2927903;Santa Inês;;100,695;65,79;
BA;2928000;Santaluz;;116,115;67,815;
BA;2928059;Santa Luzia;;70,211;64,484;
BA;2928109;Santa Maria da Vitória;;96,422;70,7;
BA;2928208;Santana;;97,984;67,5;
BA;2928307;Santanópolis;;67,243;69,005;
BA;2928406;Santa Rita de Cássia;;74,698;73,922;
BA;2928505;Santa Teresinha;;73,175;62,16;
BA;2928604;Santo Amaro;;122,739;82,382;
